task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,"Search the web for the latest Python version, then write the finding to a file",simple,"[""websearch_search_web"", ""filesystem_write_file""]","[[""websearch_search_web"", ""filesystem_write_file""]]","{""websearch_search_web"": 806, ""filesystem_write_file"": 876}","{""websearch_search_web"": 2088.304042816162, ""filesystem_write_file"": 4995.665073394775}",2613,2,True
2,"Search the web for competitor pricing, then query the database to compare against our records",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_run_analysis""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""]]","{""websearch_search_web"": 809, ""database_query_db"": 873, ""analytics_run_analysis"": 1030}","{""websearch_search_web"": 790.2524471282959, ""database_query_db"": 963.780403137207, ""analytics_run_analysis"": 4773.739337921143}",4003,4,True
3,"Search the web for industry benchmarks, then run analysis comparing them to our data",simple,"[""websearch_search_web"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 807, ""analytics_run_analysis"": 965, ""analytics_generate_report"": 1054}","{""websearch_search_web"": 927.1917343139648, ""analytics_run_analysis"": 2654.8757553100586, ""analytics_generate_report"": 1115.170955657959}",4176,3,True
4,"Search the web for conference dates, then email the team with the details",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""email_send_email""]]","{""websearch_search_web"": 808, ""websearch_fetch_url"": 875, ""email_send_email"": 1149}","{""websearch_search_web"": 832.7212333679199, ""websearch_fetch_url"": 953.6991119384766, ""email_send_email"": 3794.800043106079}",4046,3,True
5,"Search the web for the venue's availability, then create a calendar event",simple,[],[],{},{},859,0,True
6,"Search the web for the latest library version, then run code to test compatibility",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""code_run_code"", ""code_get_output""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""websearch_search_web"": 806, ""websearch_fetch_url"": 861, ""code_run_code"": 921, ""code_get_output"": 971}","{""websearch_search_web"": 855.8788299560547, ""websearch_fetch_url"": 999.5672702789307, ""code_run_code"": 1051.2187480926514, ""code_get_output"": 824.181079864502}",4615,4,True
7,"Search the web for related articles, then embed the key findings for future semantic search",simple,"[""websearch_search_web"", ""vector_embed_query""]","[[""websearch_search_web"", ""vector_embed_query""]]","{""websearch_search_web"": 807, ""vector_embed_query"": 971}","{""websearch_search_web"": 726.494550704956, ""vector_embed_query"": 2440.3910636901855}",2955,2,True
8,"Search the web for the latest Python version, then write the finding to a file",simple,"[""websearch_search_web"", ""filesystem_write_file""]","[[""websearch_search_web"", ""filesystem_write_file""]]","{""websearch_search_web"": 806, ""filesystem_write_file"": 884}","{""websearch_search_web"": 773.7970352172852, ""filesystem_write_file"": 1145.1990604400635}",2640,2,True
9,"Search the web for competitor pricing, then query the database to compare against our records",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_run_analysis""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_run_analysis""]]","{""websearch_search_web"": 806, ""database_query_db"": 869, ""analytics_run_analysis"": 1068}","{""websearch_search_web"": 779.9043655395508, ""database_query_db"": 833.3582878112793, ""analytics_run_analysis"": 5187.7121925354}",4060,4,True
10,"Search the web for industry benchmarks, then run analysis comparing them to our data",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""websearch_fetch_url"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 807, ""websearch_fetch_url"": 910, ""analytics_run_analysis"": 1025, ""analytics_generate_report"": 1111}","{""websearch_search_web"": 912.8501415252686, ""websearch_fetch_url"": 2990.610122680664, ""analytics_run_analysis"": 1261.1002922058105, ""analytics_generate_report"": 1162.5781059265137}",5167,5,True
