task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,"Run code to preprocess a dataset, then embed the cleaned records for the vector index",simple,[],[],{},{},867,0,True
2,Fetch the top web result for 'best practices 2026' and send a summary email,simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""email_send_email""]]","{""websearch_search_web"": 810, ""websearch_fetch_url"": 872, ""email_send_email"": 1096}","{""websearch_search_web"": 978.1529903411865, ""websearch_fetch_url"": 1719.9625968933105, ""email_send_email"": 3706.148147583008}",3972,3,True
3,Search the vector index for similar past incidents and run code to compute a similarity score distri,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 490, ""code_run_code"": 490, ""code_get_output"": 1068}","{""vector_search_index"": 3494.779109954834, ""code_run_code"": 3494.779109954834, ""code_get_output"": 1021.9922065734863}",3287,3,True
4,Search the vector index for documents related to 'machine learning' and run code to summarize the to,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 818, ""code_run_code"": 1009, ""code_get_output"": 1059}","{""vector_search_index"": 1046.06294631958, ""code_run_code"": 2795.6533432006836, ""code_get_output"": 843.91188621521}",4059,3,True
5,Read inbox for the weekly newsletter and forward a summary email to the team,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""email_send_email""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""email_send_email""]]","{""email_read_inbox"": 2604, ""websearch_search_web"": 987, ""email_send_email"": 1107}","{""email_read_inbox"": 2979.033946990967, ""websearch_search_web"": 967.5679206848145, ""email_send_email"": 2100.851058959961}",5885,5,True
6,Search the vector index for documents related to 'machine learning' and run code to summarize the to,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 818, ""code_run_code"": 1065, ""code_get_output"": 1115}","{""vector_search_index"": 3128.023624420166, ""code_run_code"": 3432.5547218322754, ""code_get_output"": 818.1860446929932}",4276,3,True
7,Embed a batch of customer feedback text and run code to cluster the resulting vectors,simple,"[""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""vector_embed_query"", ""code_run_code"", ""code_get_output""]","[[""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""vector_embed_query""], [""vector_embed_query"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_embed_query"": 1837, ""code_run_code"": 1422, ""code_get_output"": 1472}","{""vector_embed_query"": 17728.811740875244, ""code_run_code"": 5068.807125091553, ""code_get_output"": 986.1147403717041}",6394,8,True
8,Search the vector index for similar past incidents and run code to compute a similarity score distri,simple,"[""vector_search_index"", ""code_run_code""]","[[""vector_search_index"", ""code_run_code""]]","{""vector_search_index"": 473, ""code_run_code"": 473}","{""vector_search_index"": 3522.8097438812256, ""code_run_code"": 3522.8097438812256}",2043,2,True
9,Read the inbox for messages about project deadlines and create calendar events for each deadline fou,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""calendar_create_event"", ""calendar_create_event""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""email_read_inbox"": 4655, ""websearch_search_web"": 4744, ""calendar_create_event"": 1400}","{""email_read_inbox"": 6553.930759429932, ""websearch_search_web"": 4361.546516418457, ""calendar_create_event"": 7602.85758972168}",12380,11,True
10,Search the vector index for documents related to 'machine learning' and run code to summarize the to,simple,"[""vector_search_index"", ""code_run_code"", ""code_get_output""]","[[""vector_search_index"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""vector_search_index"": 819, ""code_run_code"": 965, ""code_get_output"": 1015}","{""vector_search_index"": 1238.408088684082, ""code_run_code"": 2245.5737590789795, ""code_get_output"": 1060.4774951934814}",3972,3,True
