task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,"Read the file server_list.txt, search the web for each server's latest status page, and query the da",simple,"[""filesystem_read_file"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""database_insert_record"", ""database_insert_record"", ""database_insert_record"", ""database_insert_record"", ""database_insert_record""]","[[""filesystem_read_file"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""], [""database_insert_record"", ""database_insert_record""]]","{""filesystem_read_file"": 818, ""websearch_search_web"": 980, ""database_insert_record"": 1365}","{""filesystem_read_file"": 3082.305431365967, ""websearch_search_web"": 10805.609226226807, ""database_insert_record"": 17413.37776184082}",4770,11,True
2,"Search the web for current market prices, query the database for our current holdings, and run an an",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 426, ""database_query_db"": 426, ""analytics_run_analysis"": 1001, ""analytics_generate_report"": 1096}","{""websearch_search_web"": 1717.728853225708, ""database_query_db"": 1717.728853225708, ""analytics_run_analysis"": 2394.4380283355713, ""analytics_generate_report"": 1120.619535446167}",4226,4,True
3,"Query the sales database for this month's totals, run an analysis of the trend, and email the summar",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""]]","{""database_query_db"": 835, ""analytics_run_analysis"": 887, ""analytics_generate_report"": 975, ""email_send_email"": 1107}","{""database_query_db"": 1731.7166328430176, ""analytics_run_analysis"": 1032.2587490081787, ""analytics_generate_report"": 1416.8074131011963, ""email_send_email"": 1711.768627166748}",4998,4,True
4,"Run an analysis of last week's usage data, email the findings to the team, and create a calendar eve",simple,"[""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report"", ""email_send_email"", ""calendar_create_event""]","[[""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""], [""analytics_generate_report"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""database_query_db"": 835, ""analytics_run_analysis"": 924, ""analytics_generate_report"": 390, ""email_send_email"": 390, ""calendar_create_event"": 390}","{""database_query_db"": 1302.706241607666, ""analytics_run_analysis"": 1379.5745372772217, ""analytics_generate_report"": 2860.7592582702637, ""email_send_email"": 2860.7592582702637, ""calendar_create_event"": 2860.7592582702637}",4345,5,True
5,"Read the inbox for the bug report, create a calendar event for the triage meeting, and run code to r",simple,"[""email_read_inbox"", ""calendar_create_event"", ""code_run_code""]","[[""email_read_inbox"", ""calendar_create_event""], [""calendar_create_event"", ""code_run_code""]]","{""email_read_inbox"": 311, ""calendar_create_event"": 311, ""code_run_code"": 311}","{""email_read_inbox"": 2448.4803676605225, ""calendar_create_event"": 2448.4803676605225, ""code_run_code"": 2448.4803676605225}",2141,3,True
6,"List this week's calendar events, run code to extract the meeting topics, and embed the topics for f",simple,"[""calendar_list_events"", ""code_run_code"", ""vector_embed_query""]","[[""calendar_list_events"", ""code_run_code""], [""code_run_code"", ""vector_embed_query""]]","{""calendar_list_events"": 839, ""code_run_code"": 494, ""vector_embed_query"": 494}","{""calendar_list_events"": 2393.5887813568115, ""code_run_code"": 2174.4332313537598, ""vector_embed_query"": 2174.4332313537598}",2987,3,True
7,"Run a Python script to generate a summary, search the vector index for related past summaries, and w",simple,"[""code_run_code"", ""code_get_output"", ""vector_search_index"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""vector_search_index""], [""vector_search_index"", ""filesystem_write_file""]]","{""code_run_code"": 928, ""code_get_output"": 978, ""vector_search_index"": 1050, ""filesystem_write_file"": 1167}","{""code_run_code"": 2602.8332710266113, ""code_get_output"": 1130.5351257324219, ""vector_search_index"": 1228.5325527191162, ""filesystem_write_file"": 2192.023754119873}",5363,4,True
8,"Search the vector index for prior notes on this topic, read the matching file, and search the web fo",simple,"[""vector_search_index"", ""filesystem_read_file"", ""filesystem_read_file"", ""filesystem_read_file"", ""websearch_search_web""]","[[""vector_search_index"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""filesystem_read_file""], [""filesystem_read_file"", ""websearch_search_web""]]","{""vector_search_index"": 826, ""filesystem_read_file"": 948, ""websearch_search_web"": 1051}","{""vector_search_index"": 1625.765085220337, ""filesystem_read_file"": 4470.892667770386, ""websearch_search_web"": 1021.0025310516357}",4090,5,True
9,"Read the file server_list.txt, search the web for each server's latest status page, and query the da",simple,"[""filesystem_read_file"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""websearch_search_web"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db"", ""database_query_db""]","[[""filesystem_read_file"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_search_web""], [""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""], [""database_query_db"", ""database_query_db""]]","{""filesystem_read_file"": 818, ""websearch_search_web"": 8408, ""database_query_db"": 1592}","{""filesystem_read_file"": 864.3085956573486, ""websearch_search_web"": 8950.676918029785, ""database_query_db"": 33097.71728515625}",12732,17,True
10,"Search the web for current market prices, query the database for our current holdings, and run an an",simple,"[""websearch_search_web"", ""database_query_db"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""websearch_search_web"", ""database_query_db""], [""database_query_db"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""websearch_search_web"": 426, ""database_query_db"": 426, ""analytics_run_analysis"": 1008, ""analytics_generate_report"": 1095}","{""websearch_search_web"": 1438.1651878356934, ""database_query_db"": 1438.1651878356934, ""analytics_run_analysis"": 2043.1907176971436, ""analytics_generate_report"": 1507.1280002593994}",4306,4,True
