task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,"[""email_send_email"", ""calendar_create_event""]","[[""email_send_email"", ""calendar_create_event""]]","{""email_send_email"": 472, ""calendar_create_event"": 472}","{""email_send_email"": 4879.350900650024, ""calendar_create_event"": 4879.350900650024}",2010,2,True
2,Read the file requirements.txt and run code to validate dependencies,simple,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""filesystem_read_file"": 800, ""code_run_code"": 933, ""code_get_output"": 983}","{""filesystem_read_file"": 1185.476303100586, ""code_run_code"": 2615.8740520477295, ""code_get_output"": 986.0866069793701}",3778,3,True
3,List this week's calendar events and send an email summary of the schedule to the team,simple,"[""calendar_list_events"", ""email_send_email""]","[[""calendar_list_events"", ""email_send_email""]]","{""calendar_list_events"": 833, ""email_send_email"": 961}","{""calendar_list_events"": 1297.6431846618652, ""email_send_email"": 1585.2091312408447}",2836,2,True
4,Send a follow-up email to the team and create a calendar event for the discussed meeting time,simple,"[""email_read_inbox"", ""calendar_list_events"", ""email_send_email"", ""calendar_create_event""]","[[""email_read_inbox"", ""calendar_list_events""], [""calendar_list_events"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""email_read_inbox"": 436, ""calendar_list_events"": 436, ""email_send_email"": 548, ""calendar_create_event"": 548}","{""email_read_inbox"": 1946.3202953338623, ""calendar_list_events"": 1946.3202953338623, ""email_send_email"": 3394.8559761047363, ""calendar_create_event"": 3394.8559761047363}",3187,4,True
5,Query the users database for active accounts and run code to summarize the count,simple,"[""database_query_db"", ""code_run_code"", ""code_get_output""]","[[""database_query_db"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""database_query_db"": 819, ""code_run_code"": 889, ""code_get_output"": 939}","{""database_query_db"": 5916.7320728302, ""code_run_code"": 1368.858814239502, ""code_get_output"": 950.955867767334}",3672,3,True
6,Send a follow-up email to the team and create a calendar event for the discussed meeting time,simple,"[""email_read_inbox"", ""calendar_list_events"", ""email_send_email"", ""calendar_create_event""]","[[""email_read_inbox"", ""calendar_list_events""], [""calendar_list_events"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""email_read_inbox"": 436, ""calendar_list_events"": 436, ""email_send_email"": 1044, ""calendar_create_event"": 1125}","{""email_read_inbox"": 1962.9426002502441, ""calendar_list_events"": 1962.9426002502441, ""email_send_email"": 2214.803457260132, ""calendar_create_event"": 1341.2449359893799}",4295,4,True
7,Read the inbox for the weekly newsletter and create a calendar event to review it next week,simple,"[""email_read_inbox"", ""calendar_create_event""]","[[""email_read_inbox"", ""calendar_create_event""]]","{""email_read_inbox"": 810, ""calendar_create_event"": 889}","{""email_read_inbox"": 906.0344696044922, ""calendar_create_event"": 1035.7322692871094}",2690,2,True
8,List this week's calendar events and send an email summary of the schedule to the team,simple,"[""calendar_list_events"", ""email_send_email""]","[[""calendar_list_events"", ""email_send_email""]]","{""calendar_list_events"": 833, ""email_send_email"": 975}","{""calendar_list_events"": 1413.313627243042, ""email_send_email"": 1778.3498764038086}",2863,2,True
9,Search for 'quantum computing trends' and fetch the top URL,simple,"[""websearch_search_web"", ""websearch_fetch_url""]","[[""websearch_search_web"", ""websearch_fetch_url""]]","{""websearch_search_web"": 804, ""websearch_fetch_url"": 865}","{""websearch_search_web"": 904.7095775604248, ""websearch_fetch_url"": 1025.0966548919678}",2663,2,True
10,Send a follow-up email to the team and create a calendar event for the discussed meeting time,simple,"[""email_read_inbox"", ""calendar_list_events"", ""email_send_email"", ""calendar_create_event""]","[[""email_read_inbox"", ""calendar_list_events""], [""calendar_list_events"", ""email_send_email""], [""email_send_email"", ""calendar_create_event""]]","{""email_read_inbox"": 436, ""calendar_list_events"": 436, ""email_send_email"": 1048, ""calendar_create_event"": 1128}","{""email_read_inbox"": 1751.9659996032715, ""calendar_list_events"": 1751.9659996032715, ""email_send_email"": 2409.3518257141113, ""calendar_create_event"": 1280.928611755371}",4258,4,True
11,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,[],[],{},{},880,0,True
12,Search the web for the latest Python version and run a quick script to print it,simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""code_run_code"", ""code_get_output""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""websearch_search_web"": 806, ""websearch_fetch_url"": 861, ""code_run_code"": 926, ""code_get_output"": 976}","{""websearch_search_web"": 1665.8813953399658, ""websearch_fetch_url"": 1316.800832748413, ""code_run_code"": 1349.1613864898682, ""code_get_output"": 996.4456558227539}",4696,4,True
13,Check the calendar for tomorrow's events and send a reminder email about the first one,simple,"[""calendar_list_events"", ""email_send_email""]","[[""calendar_list_events"", ""email_send_email""]]","{""calendar_list_events"": 833, ""email_send_email"": 945}","{""calendar_list_events"": 1369.713544845581, ""email_send_email"": 1554.6777248382568}",2795,2,True
14,Read the inbox for messages about project deadlines and create a calendar event for each deadline fo,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""websearch_search_web"", ""websearch_fetch_url"", ""calendar_create_event"", ""calendar_create_event""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""websearch_search_web""], [""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""calendar_create_event""], [""calendar_create_event"", ""calendar_create_event""]]","{""email_read_inbox"": 2601, ""websearch_search_web"": 989, ""websearch_fetch_url"": 1046, ""calendar_create_event"": 2339}","{""email_read_inbox"": 3834.491491317749, ""websearch_search_web"": 942.685604095459, ""websearch_fetch_url"": 1143.4030532836914, ""calendar_create_event"": 3314.4264221191406}",8319,7,True
15,Query the users database for active accounts and run code to summarize the count,simple,"[""database_query_db"", ""code_run_code"", ""code_get_output""]","[[""database_query_db"", ""code_run_code""], [""code_run_code"", ""code_get_output""]]","{""database_query_db"": 818, ""code_run_code"": 882, ""code_get_output"": 932}","{""database_query_db"": 1753.19504737854, ""code_run_code"": 1237.1337413787842, ""code_get_output"": 864.6571636199951}",3640,3,True
16,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,[],[],{},{},877,0,True
17,Read the inbox for the weekly newsletter and create a calendar event to review it next week,simple,"[""email_read_inbox"", ""email_read_inbox"", ""email_read_inbox"", ""calendar_create_event""]","[[""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""email_read_inbox""], [""email_read_inbox"", ""calendar_create_event""]]","{""email_read_inbox"": 2613, ""calendar_create_event"": 1011}","{""email_read_inbox"": 2745.535135269165, ""calendar_create_event"": 1069.4167613983154}",4733,4,True
18,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,"[""email_send_email"", ""calendar_create_event""]","[[""email_send_email"", ""calendar_create_event""]]","{""email_send_email"": 463, ""calendar_create_event"": 463}","{""email_send_email"": 2413.752317428589, ""calendar_create_event"": 2413.752317428589}",1962,2,True
19,Search for 'quantum computing trends' and fetch the top URL,simple,"[""websearch_search_web"", ""websearch_fetch_url""]","[[""websearch_search_web"", ""websearch_fetch_url""]]","{""websearch_search_web"": 804, ""websearch_fetch_url"": 866}","{""websearch_search_web"": 805.1893711090088, ""websearch_fetch_url"": 1021.3577747344971}",2652,2,True
20,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,[],[],{},{},839,0,True
21,Check the calendar for tomorrow's events and send a reminder email about the first one,simple,"[""calendar_list_events"", ""email_send_email""]","[[""calendar_list_events"", ""email_send_email""]]","{""calendar_list_events"": 833, ""email_send_email"": 984}","{""calendar_list_events"": 1188.7073516845703, ""email_send_email"": 1884.857177734375}",2879,2,True
22,Run a Python script to generate a random dataset and analyze it statistically,simple,"[""code_run_code"", ""code_get_output"", ""filesystem_read_file"", ""analytics_run_analysis"", ""analytics_generate_report""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_read_file""], [""filesystem_read_file"", ""analytics_run_analysis""], [""analytics_run_analysis"", ""analytics_generate_report""]]","{""code_run_code"": 933, ""code_get_output"": 982, ""filesystem_read_file"": 1042, ""analytics_run_analysis"": 1252, ""analytics_generate_report"": 1339}","{""code_run_code"": 2532.4654579162598, ""code_get_output"": 822.3781585693359, ""filesystem_read_file"": 979.8521995544434, ""analytics_run_analysis"": 3350.3334522247314, ""analytics_generate_report"": 1517.6806449890137}",7132,5,True
23,Send an email requesting availability and create a placeholder calendar event pending confirmation,simple,"[""email_send_email"", ""calendar_create_event""]","[[""email_send_email"", ""calendar_create_event""]]","{""email_send_email"": 459, ""calendar_create_event"": 459}","{""email_send_email"": 2918.745517730713, ""calendar_create_event"": 2918.745517730713}",1947,2,True
24,Read the inbox for the weekly newsletter and create a calendar event to review it next week,simple,"[""email_read_inbox"", ""calendar_create_event""]","[[""email_read_inbox"", ""calendar_create_event""]]","{""email_read_inbox"": 810, ""calendar_create_event"": 889}","{""email_read_inbox"": 846.4596271514893, ""calendar_create_event"": 997.6747035980225}",2688,2,True
