task_id,task,complexity,tool_sequence,tool_transitions,tokens_per_tool,latency_per_tool,total_tokens,n_tool_calls,success
1,"Run code to convert a CSV to JSON, write the output to a file, and email the file location to the te",simple,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output"", ""email_send_email""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""email_send_email""]]","{""filesystem_read_file"": 813, ""code_run_code"": 946, ""code_get_output"": 996, ""email_send_email"": 1089}","{""filesystem_read_file"": 3895.996570587158, ""code_run_code"": 2377.4521350860596, ""code_get_output"": 1142.3771381378174, ""email_send_email"": 1663.3994579315186}",5002,4,True
2,"Run code to convert a CSV to JSON, write the output to a file, and email the file location to the te",simple,"[""filesystem_read_file"", ""code_run_code"", ""code_get_output"", ""filesystem_write_file"", ""email_send_email""]","[[""filesystem_read_file"", ""code_run_code""], [""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_write_file""], [""filesystem_write_file"", ""email_send_email""]]","{""filesystem_read_file"": 813, ""code_run_code"": 916, ""code_get_output"": 966, ""filesystem_write_file"": 1049, ""email_send_email"": 1115}","{""filesystem_read_file"": 792.4096584320068, ""code_run_code"": 2191.01881980896, ""code_get_output"": 698.3129978179932, ""filesystem_write_file"": 1447.633981704712, ""email_send_email"": 1829.845905303955}",6035,5,True
3,"Embed the query 'security vulnerabilities', search the vector index, and send findings via email",simple,"[""vector_embed_query"", ""vector_search_index"", ""email_send_email""]","[[""vector_embed_query"", ""vector_search_index""], [""vector_search_index"", ""email_send_email""]]","{""vector_embed_query"": 805, ""vector_search_index"": 866, ""email_send_email"": 1008}","{""vector_embed_query"": 724.1976261138916, ""vector_search_index"": 825.291633605957, ""email_send_email"": 1942.901372909546}",3763,3,True
4,"Search the web for team offsite venues, fetch details from the top result, and schedule a calendar e",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""calendar_create_event""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""calendar_create_event""]]","{""websearch_search_web"": 812, ""websearch_fetch_url"": 870, ""calendar_create_event"": 951}","{""websearch_search_web"": 796.140193939209, ""websearch_fetch_url"": 1761.343240737915, ""calendar_create_event"": 2597.9490280151367}",3687,3,True
5,"Run a Python script to generate a random dataset, analyze it statistically, and write the results to",simple,"[""code_run_code"", ""code_get_output"", ""filesystem_write_file""]","[[""code_run_code"", ""code_get_output""], [""code_get_output"", ""filesystem_write_file""]]","{""code_run_code"": 949, ""code_get_output"": 999, ""filesystem_write_file"": 1067}","{""code_run_code"": 2647.878646850586, ""code_get_output"": 761.5780830383301, ""filesystem_write_file"": 888.4987831115723}",4141,3,True
6,"Search the vector index for documents related to 'machine learning', fetch the top result URL, and g",simple,"[""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index"", ""vector_search_index""]","[[""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""], [""vector_search_index"", ""vector_search_index""]]","{""vector_search_index"": 20239}","{""vector_search_index"": 19900.8367061615}",20240,18,True
7,"Search for 'quantum computing trends', fetch the top URL, and send a summary email with key findings",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""email_send_email""]]","{""websearch_search_web"": 812, ""websearch_fetch_url"": 873, ""email_send_email"": 1094}","{""websearch_search_web"": 770.1997756958008, ""websearch_fetch_url"": 839.0011787414551, ""email_send_email"": 2260.155439376831}",3948,3,True
8,"Embed the query 'security vulnerabilities', search the vector index, and send findings via email",simple,"[""vector_embed_query"", ""websearch_search_web"", ""vector_search_index"", ""email_send_email""]","[[""vector_embed_query"", ""websearch_search_web""], [""websearch_search_web"", ""vector_search_index""], [""vector_search_index"", ""email_send_email""]]","{""vector_embed_query"": 424, ""websearch_search_web"": 424, ""vector_search_index"": 933, ""email_send_email"": 1108}","{""vector_embed_query"": 1291.6181087493896, ""websearch_search_web"": 1291.6181087493896, ""vector_search_index"": 976.2637615203857, ""email_send_email"": 2071.6636180877686}",4062,4,True
9,Query the users database for active accounts and insert a summary record into the audit table in the,simple,"[""database_query_db"", ""database_insert_record""]","[[""database_query_db"", ""database_insert_record""]]","{""database_query_db"": 825, ""database_insert_record"": 902}","{""database_query_db"": 935.2540969848633, ""database_insert_record"": 1343.5940742492676}",2687,2,True
10,"Search for 'quantum computing trends', fetch the top URL, and send a summary email with key findings",simple,"[""websearch_search_web"", ""websearch_fetch_url"", ""email_send_email""]","[[""websearch_search_web"", ""websearch_fetch_url""], [""websearch_fetch_url"", ""email_send_email""]]","{""websearch_search_web"": 812, ""websearch_fetch_url"": 873, ""email_send_email"": 1131}","{""websearch_search_web"": 1040.5828952789307, ""websearch_fetch_url"": 870.9859848022461, ""email_send_email"": 2990.652561187744}",4033,3,True
